True,Pred
6.04,6.042329
8.24,8.214206
4.28,4.217986
1.86,2.1730378
8.9,9.192594
0.32,0.3105116
7.8,6.7737217
5.16,5.1662283
8.02,7.968074
8.02,8.08268
8.46,8.435372
6.7,6.7341604
9.56,9.617792
7.36,7.3294497
9.78,9.763825
8.24,8.270434
3.62,3.867737
7.58,7.607295
3.18,3.1789315
9.12,9.19264
0.98,0.94697237
8.9,8.968325
2.52,2.489107
1.2,1.1969366
6.48,6.456189
4.28,4.242117
6.92,6.8770914
7.36,7.2363005
3.4,3.4154696
7.58,7.542754
6.26,6.294321
0.32,0.45421076
1.42,1.4267256
3.84,3.9378424
8.02,7.403887
4.5,4.50206
0.54,0.52083325
8.68,8.680338
4.72,4.709947
9.12,9.121739
8.02,8.021781
2.08,2.1272886
0.32,0.27987504
0.32,0.3121606
2.08,2.1507583
9.34,9.495867
0.98,0.9618645
7.8,7.7429132
4.28,4.289014
8.24,8.315966
0.32,0.30245864
4.94,4.917351
5.82,5.8307223
9.34,9.272998
7.58,7.623478
2.08,2.056992
0.98,0.9121547
4.5,4.5546646
2.74,2.7027893
0.54,0.5372894
9.78,9.772097
4.28,4.289171
7.58,7.589346
3.62,3.7300274
0.54,0.41690707
4.5,4.4810457
0.1,0.10081792
5.82,5.955862
2.96,2.9329534
3.62,2.2300303
9.78,9.803273
6.92,6.949623
9.78,9.794666
2.52,2.4938147
1.42,1.4302629
1.2,1.2227962
5.16,5.1595316
5.6,5.9919643
1.86,1.9376769
4.72,3.611371
6.48,6.4666796
8.02,8.139291
8.24,2.6342485
1.2,1.1684207
1.42,1.433889
7.8,7.7540455
8.9,8.900501
4.94,5.206194
2.08,2.0352097
3.84,4.3296757
4.06,3.895706
0.32,0.33668137
2.74,2.8048103
5.38,5.3786426
1.86,4.505217
6.92,6.918993
2.96,3.4128194
2.52,3.354217
1.2,1.2551223
5.16,5.329094
3.4,3.4125066
3.4,3.387373
0.76,0.72556436
0.32,0.25454926
2.3,2.2716818
5.38,5.3867636
5.38,5.504781
6.92,6.539835
0.54,0.5364549
1.2,1.1700213
8.02,8.022199
4.94,4.887206
4.06,4.3628016
1.2,1.209236
1.86,1.8156707
2.3,2.30332
5.16,5.1412926
8.9,8.785013
1.64,1.6479044
8.68,8.662891
4.5,4.4971356
0.54,0.5577624
5.16,5.241934
1.86,1.8183799
4.5,4.4642515
8.68,8.696076
6.7,6.713332
2.08,2.1291184
6.7,6.5981417
8.68,8.650713
9.34,9.442276
6.04,6.0559974
9.78,9.81944
6.48,7.50194
2.08,2.1133788
6.26,6.230088
8.02,7.989849
9.34,9.177109
6.26,6.186943
0.76,0.7458495
5.82,5.802717
0.1,0.10345483
0.1,0.12318444
2.96,2.9811327
8.02,8.014953
0.54,0.5887408
7.36,7.330888
6.7,6.6818476
9.34,8.314271
4.06,4.2513614
10.0,8.970766
7.36,7.458742
0.98,0.984252
5.16,5.021806
8.02,7.286871
8.02,8.089054
2.3,2.31746
3.62,3.6588206
2.08,2.1398883
8.02,7.9936323
10.0,9.915352
2.52,2.3556654
7.58,7.077941
4.5,4.4854794
1.64,1.6050689
5.16,5.49732
7.58,7.639269
6.04,6.1411524
0.76,0.75112545
4.72,4.730715
4.06,4.100326
5.82,5.836418
0.54,0.6860665
4.72,4.7307396
4.06,4.015175
4.94,4.958748
8.02,8.284058
6.26,6.3652134
1.86,1.922507
3.4,3.3944783
5.16,5.095339
2.74,2.7167306
1.2,1.1496731
3.84,3.8076396
9.12,9.100753
1.86,1.6738584
0.1,0.079218626
1.64,1.4443507
8.46,8.437308
4.72,4.694783
9.34,9.163358
3.4,4.422268
2.74,2.7725286
9.34,9.332615
0.32,0.33770323
10.0,9.606263
6.26,6.3457623
2.3,2.2684128
8.9,8.90887
5.38,5.359306
8.02,7.9857626
7.14,7.2110167
2.52,2.531631
6.92,6.9254627
2.52,2.507114
7.58,7.5852327
3.4,3.3948767
6.7,6.7295485
8.24,8.322011
5.82,5.735862
6.48,6.496668
1.2,1.1953782
2.74,2.75606
7.58,7.561944
7.36,7.1807013
4.94,4.914545
0.98,1.0042428
9.12,8.849978
10.0,10.142442
6.92,6.9696875
8.68,8.721266
3.18,2.0752037
9.56,9.529937
1.2,1.0606788
4.72,4.7229915
3.4,3.1875186
2.08,2.0681605
4.72,4.665156
0.54,0.5016346
2.74,2.7019587
2.74,2.7225995
8.24,8.255683
8.24,7.967412
4.72,4.6829195
9.12,9.237003
2.08,2.2114801
2.08,2.1289816
5.38,5.3619957
3.62,3.5972931
10.0,10.011264
5.82,5.50677
4.94,5.3346157
3.62,3.5611472
3.62,3.6204865
8.02,7.986512
6.48,6.483712
5.16,5.1297264
8.46,8.4590225
3.84,3.8154812
0.76,0.7068033
0.98,0.9843606
8.9,8.869192
8.46,8.439094
8.9,7.0992365
6.48,6.4982224
9.78,9.771128
1.64,1.6872786
4.94,4.9125853
0.98,1.0984565
0.54,0.5080781
8.02,8.164197
2.08,2.026628
5.38,5.408842
5.82,5.8184724
7.58,7.535445
2.08,2.096101
10.0,9.809438
8.68,8.71154
1.42,1.4182765
6.04,6.087982
6.04,6.0033183
5.38,5.1264606
6.26,6.270262
5.6,5.5973415
3.62,3.6666377
4.06,4.045605
8.46,8.506235
4.5,4.4796867
0.98,0.97264135
5.6,5.5665703
3.4,3.3773108
0.1,0.11595082
0.32,0.49864697
9.34,9.342195
2.3,2.3600366
5.82,5.786559
2.52,1.4979402
0.98,0.9709276
0.76,0.7898383
8.46,8.467339
4.06,2.402768
2.96,5.2588854
6.92,6.9181366
9.78,9.800527
4.94,4.916052
2.08,2.0808077
8.46,8.600365
8.02,7.8706055
6.7,6.722106
4.5,4.502782
7.8,7.8184614
4.5,4.666556
6.7,6.66059
6.7,6.727249
6.48,6.489442
3.84,3.825954
5.16,5.2010746
3.4,3.399714
4.06,4.0459514
8.24,8.213552
9.78,9.798114
5.82,5.516451
6.48,6.434658
2.52,3.5235338
9.12,9.130634
7.58,7.5781918
1.86,1.8390388
4.5,4.512679
3.18,3.1339679
9.56,9.199298
8.46,8.431854
4.5,4.517936
3.4,3.397582
0.76,0.8303795
0.1,0.07998824
2.52,2.1895568
0.54,0.4845389
4.94,4.886421
6.04,6.1530714
2.08,2.061151
0.32,0.30915797
3.4,3.3793478
4.28,3.591721
8.68,8.734403
5.6,5.636998
6.48,6.4909782
2.96,2.934766
3.4,3.399858
6.26,6.155527
6.48,6.3669147
0.1,0.10521841
7.36,6.772398
7.36,7.335803
3.62,3.6431217
9.56,9.4537325
4.72,5.38061
3.4,3.3202627
1.2,1.2092944
5.6,5.622901
9.78,9.72254
2.96,2.80405
0.1,0.14606547
9.56,9.532769
2.74,2.7279315
7.36,7.645402
0.98,1.0071841
7.58,7.588682
0.1,0.09112072
0.32,0.29890645
4.06,4.4297943
0.76,0.7321571
3.84,3.7841377
5.16,5.2357254
7.8,7.43067
1.42,1.5093898
8.24,8.413812
7.14,7.1503067
8.02,8.01055
6.26,6.286874
1.86,2.51687
8.46,8.5134735
6.92,6.9054346
9.12,9.128478
2.52,2.5132651
8.68,8.772386
0.32,0.29713416
4.06,4.0333424
2.74,2.6997738
0.54,0.48666382
2.52,2.5215054
5.6,5.609455
8.68,8.6466675
6.48,6.4030294
8.9,8.737571
9.56,9.597595
4.94,4.930147
6.04,5.9571123
9.12,9.120823
6.04,6.0270786
3.4,3.397777
3.4,3.3894405
2.52,2.5182397
7.14,7.163992
4.06,4.041207
6.7,6.7994795
0.32,0.1890595
4.28,4.304329
0.98,1.1580495
0.32,0.31367064
0.54,0.13285637
1.86,1.8568051
8.02,8.068934
9.56,9.634664
1.86,1.8661779
9.56,9.62898
9.56,9.614385
0.54,0.53940153
2.74,2.7251449
4.94,4.923918
2.74,2.7385428
5.82,5.8107176
1.86,1.868056
8.02,7.993284
3.84,3.8709106
2.74,2.6781828
4.5,7.038061
0.54,0.5614214
3.4,3.539019
9.56,9.405284
9.56,9.504593
8.9,8.929054
3.4,3.36902
0.1,0.11796832
7.36,7.385638
3.84,3.8680844
4.28,5.4064083
10.0,9.881416
1.86,2.0249584
1.42,0.91839147
0.98,1.0012168
9.56,9.544624
9.12,9.147242
6.26,6.2904563
7.36,7.3247967
5.16,4.9056826
9.78,9.638768
2.52,2.4746187
0.32,0.29841483
5.6,5.573826
0.32,0.53565407
3.18,3.200957
0.32,0.3060273
6.26,6.242733
8.68,8.643087
0.54,0.5177481
0.54,0.63649523
5.16,5.117854
3.18,3.7818298
8.02,8.057816
9.12,9.177742
1.64,1.6354151
6.7,6.704032
7.8,7.8379993
0.54,0.52831316
9.56,9.557973
5.38,5.413403
8.9,8.884457
9.78,9.959958
8.68,2.4990687
2.08,2.086143
2.96,2.911824
10.0,10.00946
7.14,7.1429605
2.3,2.2617567
5.6,5.649276
3.84,3.80619
10.0,8.711082
8.9,9.319319
8.46,8.455358
1.2,1.2547288
3.62,3.6273835
0.54,0.5307367
8.68,8.680149
5.38,5.379172
6.26,6.2535505
6.7,6.7031555
1.42,1.4052323
6.48,6.274332
6.04,6.22759
4.5,4.496937
1.86,1.8551364
2.3,2.3454037
0.54,0.50541186
10.0,9.981817
0.98,1.010914
4.5,4.481023
9.12,9.115174
2.08,2.064541
1.64,1.6632403
8.24,8.238941
8.68,8.718543
7.58,7.5959673
4.06,4.0863285
4.28,3.764131
4.5,4.513582
1.86,1.9422355
3.18,2.2271302
5.82,5.7180195
3.18,3.17275
6.92,6.8859406
4.94,5.022296
1.42,1.1985726
0.98,0.973984
