True,Pred
300.0,300.35022
60.0,59.847717
92.0,92.04224
284.0,286.2412
4.0,4.044098
76.0,75.258514
92.0,89.024475
220.00002,219.9908
284.0,283.77835
60.0,59.887115
284.0,283.98636
4.0,4.005554
108.0,107.23294
260.0,259.94922
300.0,300.44882
308.0,308.28964
252.0,251.09955
124.0,124.27841
76.0,75.77698
308.0,307.97974
308.0,306.20267
276.0,276.26953
100.0,99.93338
100.0,100.1362
100.0,99.99191
212.00002,212.14282
180.0,180.07469
84.0,83.657776
340.0,340.18658
4.0,4.159851
164.0,163.93408
100.0,99.18027
156.0,156.18024
300.0,300.14325
100.0,99.275024
308.0,308.18823
92.0,93.43744
292.0,292.25446
12.0,11.880035
308.0,308.39948
252.0,251.53082
276.0,277.18478
204.0,205.15085
244.0,243.96219
268.0,265.9078
236.00002,236.39513
132.0,131.9325
220.00002,220.3892
12.0,11.949951
252.0,252.01172
84.0,82.88486
124.0,124.03665
220.00002,220.02863
124.0,123.593994
124.0,124.00018
180.0,180.22414
20.0,18.188354
252.0,251.41617
340.0,340.44763
236.00002,235.77594
188.00002,188.12297
172.0,172.20837
20.0,20.01529
68.0,69.794525
156.0,156.98157
124.0,123.8916
84.0,81.19815
68.0,67.69052
36.0,35.591797
236.00002,236.40445
164.0,164.17065
20.0,19.833923
172.0,171.7591
300.0,299.96375
156.0,155.66333
236.00002,235.71826
316.0,316.19513
260.0,260.60522
52.0,52.94519
124.0,122.91025
44.0,43.41092
284.0,284.34048
244.0,244.00363
4.0,5.151184
340.0,340.0628
76.0,75.664734
204.0,203.82257
300.0,300.12323
252.0,252.30705
36.0,34.797913
108.0,108.15842
236.00002,237.94742
324.0,324.12253
260.0,259.8175
44.0,58.660004
268.0,268.0053
268.0,267.75592
36.0,36.01715
332.0,331.64783
244.0,241.95465
12.0,11.858551
348.0,348.0456
348.0,344.41714
188.00002,188.1788
188.00002,188.38036
308.0,308.22937
252.0,249.62274
228.0,230.07285
204.0,204.05226
52.0,51.975067
356.0,356.52798
84.0,84.22223
308.0,308.00696
180.0,179.93799
252.0,251.94777
324.0,324.1736
92.0,91.8363
268.0,268.36508
116.0,115.56189
204.0,204.35718
68.0,66.6113
36.0,35.61435
252.0,252.54045
4.0,4.009613
108.0,108.23761
12.0,11.756775
356.0,356.06613
292.0,293.29535
204.0,204.29498
124.0,123.86151
28.0,27.927216
220.00002,220.00404
20.0,19.440857
300.0,301.04672
4.0,4.0164795
212.00002,212.55652
92.0,91.92059
220.00002,220.49738
132.0,132.19229
132.0,131.1463
252.0,251.70825
244.0,242.707
92.0,91.42703
300.0,299.77618
116.0,116.31995
196.00002,196.1909
252.0,251.72127
76.0,76.197815
84.0,80.95917
52.0,51.78357
236.00002,238.54175
20.0,19.82901
20.0,20.076477
236.00002,237.71352
92.0,88.97629
236.00002,236.35922
172.0,172.2345
300.0,299.83508
44.0,42.512695
36.0,35.75128
244.0,245.0222
60.0,59.308014
84.0,81.33688
132.0,131.67194
156.0,156.06226
20.0,20.04309
268.0,267.93414
348.0,347.97754
36.0,36.43045
268.0,267.78342
156.0,156.09796
324.0,324.31235
68.0,68.65689
36.0,35.85971
244.0,243.49991
172.0,172.11102
260.0,260.84534
84.0,84.161224
292.0,294.10083
116.0,115.794525
276.0,275.9807
52.0,51.90802
140.0,139.90161
140.0,140.15265
60.0,59.477173
340.0,339.76407
324.0,324.56683
228.0,228.54488
252.0,251.77719
308.0,308.23468
220.00002,219.68939
260.0,255.77165
36.0,35.93927
52.0,50.930664
76.0,73.54346
244.0,245.82687
252.0,251.31018
340.0,340.2091
268.0,268.30838
20.0,19.926178
52.0,51.460083
84.0,84.11673
228.0,228.44447
196.00002,196.07094
92.0,91.865295
260.0,260.09155
316.0,315.98508
140.0,140.18094
252.0,251.78273
108.0,107.677216
348.0,348.09442
252.0,251.52283
84.0,83.803894
140.0,140.09479
84.0,83.67987
52.0,51.525482
260.0,259.58923
108.0,106.600494
300.0,300.98724
212.00002,212.08727
332.0,332.42242
52.0,40.34381
204.0,204.39502
204.0,205.22324
108.0,108.0553
124.0,124.45392
236.00002,236.11526
100.0,99.80585
68.0,67.84848
180.0,180.24815
316.0,316.2242
52.0,51.358093
124.0,124.16223
100.0,99.64703
212.00002,212.10309
4.0,4.129181
28.0,28.011536
172.0,172.13373
100.0,100.04764
156.0,156.39221
244.0,243.8667
300.0,300.86182
204.0,203.9372
332.0,332.1439
260.0,260.08914
84.0,83.47458
292.0,292.25616
340.0,340.34415
228.0,228.36034
156.0,156.36401
316.0,314.14468
164.0,164.31091
268.0,268.42297
116.0,115.09656
172.0,172.28418
188.00002,187.93637
332.0,332.0502
284.0,284.01025
348.0,348.53357
164.0,164.08405
28.0,27.779266
164.0,164.37817
348.0,348.20654
60.0,59.10257
276.0,276.0459
316.0,315.55554
228.0,228.80695
12.0,12.082184
108.0,107.53833
68.0,67.03702
148.0,148.32
236.00002,238.14337
180.0,180.05098
180.0,180.22029
12.0,12.084351
156.0,155.9118
324.0,324.28366
268.0,268.4556
204.0,204.55322
180.0,180.05458
220.00002,220.25099
356.0,356.37335
28.0,24.633148
148.0,148.1481
292.0,293.16525
324.0,324.60162
268.0,278.88422
36.0,34.701294
180.0,180.00989
252.0,251.76295
196.00002,196.55869
276.0,276.33118
164.0,164.08344
12.0,11.9366455
292.0,292.23163
348.0,347.95502
36.0,35.61737
204.0,204.34042
340.0,340.19742
316.0,316.3068
340.0,340.35907
268.0,269.143
148.0,147.97183
340.0,340.33505
316.0,316.28012
68.0,69.36832
204.0,203.86916
92.0,91.728
148.0,148.12054
284.0,284.229
140.0,140.0921
68.0,66.35135
276.0,276.11298
276.0,277.7456
316.0,316.40274
276.0,275.83405
156.0,156.19916
332.0,332.26654
140.0,139.89642
260.0,260.32965
100.0,100.34442
300.0,300.19232
180.0,179.9975
268.0,268.6059
52.0,50.980286
156.0,155.73218
12.0,14.947388
108.0,108.01306
356.0,356.02295
92.0,91.70734
276.0,276.625
292.0,292.26416
252.0,258.58844
12.0,12.038727
260.0,261.2479
20.0,19.979767
76.0,77.124176
356.0,356.34122
228.0,228.73366
76.0,75.66913
284.0,286.01178
252.0,251.94775
324.0,324.40964
36.0,35.433075
188.00002,188.11465
324.0,324.6615
220.00002,220.34406
172.0,172.40308
236.00002,235.58894
124.0,124.0676
180.0,179.87555
348.0,347.77396
196.00002,195.69516
92.0,91.49597
308.0,308.39288
308.0,305.1419
308.0,308.29288
124.0,123.68707
212.00002,212.10516
316.0,316.25204
276.0,276.646
180.0,180.0106
252.0,249.54892
300.0,301.69824
44.0,43.942688
4.0,4.1752625
340.0,340.36703
260.0,259.67313
196.00002,196.09918
28.0,27.477966
308.0,308.30408
308.0,308.166
300.0,300.25482
204.0,203.9373
316.0,316.2139
156.0,156.14124
308.0,308.1474
132.0,131.70285
284.0,285.4348
180.0,179.93512
36.0,35.605835
156.0,156.22931
228.0,229.04118
228.0,227.8099
12.0,11.654907
140.0,139.76642
124.0,124.0213
180.0,179.9494
84.0,83.9747
44.0,43.590057
292.0,292.06958
140.0,140.11761
156.0,156.30939
196.00002,195.98836
220.00002,219.8422
148.0,150.43597
324.0,324.10876
356.0,355.97757
84.0,86.07208
196.00002,240.82144
196.00002,196.12862
28.0,28.161804
4.0,4.022217
244.0,244.20868
196.00002,196.30295
348.0,348.12552
148.0,147.32349
236.00002,236.14221
148.0,148.03778
356.0,356.15768
196.00002,196.45135
196.00002,196.11662
268.0,268.18402
236.00002,236.23471
92.0,91.14026
36.0,35.750366
348.0,348.3623
340.0,340.1661
116.0,114.72699
116.0,116.10663
36.0,35.513306
84.0,83.85379
180.0,180.35219
156.0,156.3645
36.0,35.822693
68.0,71.79184
204.0,204.15077
28.0,27.118866
212.00002,211.39082
4.0,6.5191345
132.0,131.95517
340.0,340.55692
132.0,131.91797
284.0,284.01984
68.0,70.68912
220.00002,220.13023
172.0,172.16113
268.0,268.3253
28.0,27.731598
60.0,57.957886
228.0,228.44823
60.0,60.239105
332.0,332.2783
308.0,308.30637
44.0,43.895447
12.0,11.191589
212.00002,212.37921
324.0,325.16534
244.0,242.98184
348.0,348.2515
60.0,60.776978
164.0,163.97534
356.0,356.04404
100.0,99.99518
356.0,356.11047
52.0,51.21399
260.0,260.94678
20.0,19.555267
252.0,252.819
108.0,108.079926
44.0,43.738922
356.0,356.08133
84.0,83.77753
68.0,68.21796
220.00002,219.9127
228.0,227.8889
