True,Pred
0.056799997,0.056463156
0.0678,0.067606166
0.028199999,0.028747931
0.037,0.03572643
0.0106,0.010162557
0.081,0.08101542
0.0612,0.08878626
0.0326,0.03323348
0.07,0.0700981
0.0348,0.03331906
0.0634,0.06317621
0.0458,0.04562557
0.0832,0.08221423
0.0876,0.087260336
0.0172,0.016896771
0.07,0.06939938
0.0436,0.044244766
0.0744,0.07372698
0.052399997,0.052685425
0.0062,0.0055593704
0.0458,0.04765122
0.0348,0.034780923
0.0766,0.076969735
0.0942,0.09441025
0.0876,0.0890851
0.0634,0.06363099
0.037,0.037280373
0.0128,0.013693042
0.07,0.06951224
0.0854,0.08514621
0.056799997,0.05665092
0.0084,0.007746905
0.0326,0.03226988
0.0216,0.020707088
0.0062,0.007329209
0.048,0.04761465
0.028199999,0.02924873
0.052399997,0.052295398
0.0678,0.06746331
0.081,0.08067198
0.0986,0.098354846
0.0854,0.08505429
0.0546,0.05482749
0.0788,0.07894028
0.0832,0.08949581
0.0876,0.086665384
0.0942,0.094939746
0.0304,0.030238848
0.092,0.09187709
0.0458,0.044685803
0.0876,0.087092035
0.0722,0.07145026
0.0194,0.01963044
0.0788,0.07750763
0.0216,0.021563567
0.0436,0.044033967
0.0348,0.03500323
0.0766,0.076146334
0.07,0.0702297
0.0986,0.09853527
0.0348,0.03489308
0.0304,0.030915532
0.0722,0.071940415
0.0788,0.0780591
0.0194,0.019790001
0.0722,0.07144717
0.0744,0.07448414
0.0502,0.049728412
0.0854,0.08528321
0.0062,0.007145735
0.0458,0.04587518
0.037,0.03681959
0.0964,0.09736663
0.0942,0.094349556
0.056799997,0.05729411
0.0546,0.05460971
0.059,0.05908927
0.0216,0.020754497
0.0854,0.084966086
0.004,0.0050260685
0.0678,0.06784154
0.0238,0.023588741
0.004,0.0075920974
0.0964,0.09751647
0.0854,0.084283695
0.0656,0.06760979
0.056799997,0.056255005
0.0172,0.01627829
0.052399997,0.05297354
0.0106,0.008377092
0.015,0.016157992
0.0348,0.036269397
0.0304,0.029043766
0.0788,0.07885292
0.08979999,0.03548206
0.059,0.05868116
0.015,0.018746702
0.015,0.010416994
0.0986,0.097972326
0.08979999,0.08843215
0.07,0.07006271
0.0458,0.04531704
0.025999999,0.020699788
0.0458,0.04605407
0.0392,0.039779577
0.0612,0.060591344
0.056799997,0.05766709
0.07,0.07513458
0.0744,0.07465676
0.0678,0.06731952
0.092,0.09185586
0.0876,0.08774516
0.015,0.014117594
0.059,0.058664404
0.056799997,0.056706954
0.0722,0.07215608
0.0744,0.07409923
0.0304,0.029887976
0.0876,0.088312864
0.052399997,0.052293167
0.0414,0.036473874
0.0326,0.032973304
0.0546,0.053810835
0.08979999,0.08935675
0.0634,0.06357024
0.0546,0.05418794
0.048,0.04795455
0.037,0.03608598
0.0392,0.03945844
0.0854,0.08563998
0.028199999,0.027990097
0.0678,0.06743289
0.0788,0.07835484
0.0084,0.007232906
0.0392,0.037974235
0.0876,0.08715918
0.0942,0.09551596
0.0546,0.055941936
0.0436,0.043658935
0.037,0.03758501
0.0832,0.082705945
0.0986,0.09779594
0.0502,0.0503961
0.0656,0.06511049
0.0392,0.039261226
0.028199999,0.029646287
0.056799997,0.056196097
0.059,0.059048206
0.0458,0.052518606
0.037,0.03326509
0.048,0.052808534
0.0194,0.018776469
0.0656,0.06700986
0.0722,0.07281664
0.0612,0.07652762
0.0832,0.08220469
0.0436,0.04367522
0.0634,0.06322131
0.0986,0.098250486
0.0612,0.06150995
0.0172,0.019339133
0.0634,0.06838822
0.052399997,0.06005246
0.0326,0.032731954
0.081,0.08131711
0.015,0.014238168
0.028199999,0.027921893
0.0194,0.018737076
0.0722,0.07287408
0.0942,0.09403431
0.0964,0.095934674
0.0612,0.060858063
0.0106,0.01391092
0.0348,0.034019142
0.028199999,0.028887369
0.0744,0.07383598
0.015,0.014752209
0.0238,0.025012868
0.037,0.035983197
0.052399997,0.052248105
0.0722,0.072069
0.0766,0.07467104
0.0656,0.065937355
0.0546,0.05476533
0.0502,0.050405454
0.015,0.011798327
0.0788,0.078824356
0.0172,0.018522834
0.0964,0.096185
0.0238,0.023299525
0.0106,0.01153802
0.0678,0.04165334
0.056799997,0.05553877
0.0216,0.020887263
0.0502,0.051221803
0.028199999,0.029626666
0.0546,0.052315664
0.0634,0.06322885
0.07,0.06962676
0.0458,0.045771427
0.07,0.07011571
0.0172,0.017370395
0.037,0.036918208
0.0634,0.063697405
0.0832,0.08322555
0.0656,0.066006295
0.0964,0.0961349
0.0942,0.09391805
0.059,0.058694392
0.0876,0.08696452
0.037,0.037085697
0.0766,0.07607719
0.0876,0.087659456
0.07,0.06958428
0.037,0.03730594
0.052399997,0.051840447
0.0876,0.088104285
0.0722,0.07244828
0.0062,0.0060206926
0.0656,0.06620752
0.092,0.09209399
0.004,0.009399515
0.0304,0.030353103
0.0194,0.021018146
0.092,0.09141749
0.0128,0.013780844
0.0744,0.074822076
0.0854,0.08428107
0.0876,0.087535545
0.0612,0.061257068
0.0546,0.054640587
0.0392,0.038806934
0.0062,0.0075834002
0.0832,0.08254909
0.0106,0.011471196
0.0238,0.021064876
0.0392,0.038430866
0.0238,0.024519349
0.0194,0.020467658
0.081,0.08043514
0.0106,0.01277627
0.0128,0.011785864
0.0216,0.021764332
0.0348,0.03478684
0.0766,0.0768003
0.0304,0.031117532
0.0436,0.043667555
0.0634,0.06327861
0.0304,0.030876745
0.0238,0.02503488
0.0414,0.037641592
0.059,0.058957834
0.0722,0.07196451
0.004,0.004809586
0.059,0.058534183
0.0502,0.050261937
0.07,0.06868751
0.07,0.06992169
0.0876,0.08792541
0.0766,0.07686778
0.0194,0.018872498
0.015,0.015923588
0.0326,0.032449722
0.0986,0.09899083
0.0766,0.0761187
0.0392,0.037989773
0.0634,0.06486749
0.0722,0.071918935
0.0458,0.046037216
0.0788,0.07848931
0.0722,0.07215371
0.07,0.07004602
0.0854,0.0853142
0.052399997,0.05246499
0.0326,0.03214356
0.0458,0.045911923
0.0964,0.096164405
0.037,0.03639665
0.0722,0.07260175
0.028199999,0.028620355
0.037,0.037733763
0.0436,0.04472862
0.004,0.009395875
0.0656,0.06499923
0.037,0.035747804
0.028199999,0.028241567
0.004,0.011094195
0.0986,0.0966851
0.056799997,0.057046194
0.0744,0.07402134
0.004,0.004719012
0.0084,0.0046243523
0.0656,0.06572413
0.092,0.09254341
0.0392,0.039089873
0.0436,0.042130996
0.0172,0.016738793
0.0172,0.018003635
0.0502,0.049967762
0.0766,0.07652413
0.0986,0.09833125
