Task,Set,source_row,filename,npy_index,True,Pred,PredWrapped180,Residual,AbsoluteError,SquaredError
b,Train,2726,file_2726.npy,2726,2.96,3.2063076496124268,,0.2463076496124268,0.2463076496124268,0.060667458257598006
b,Train,61711,file_61711.npy,61711,1.64,1.6636167764663696,,0.023616776466369727,0.023616776466369727,0.000557752130662475
b,Train,88578,file_88578.npy,88578,8.679999999999998,8.657837867736816,,-0.022162132263181533,0.022162132263181533,0.0004911601064507518
b,Train,44215,file_44215.npy,44215,9.12,9.191227912902832,,0.07122791290283281,0.07122791290283281,0.005073415576493537
b,Train,15702,file_15702.npy,15702,4.28,4.509263038635254,,0.22926303863525366,0.22926303863525366,0.052561540884269814
b,Train,39778,file_39778.npy,39778,8.019999999999998,7.91573429107666,,-0.10426570892333764,0.10426570892333764,0.01087133805728617
b,Train,19887,file_19887.npy,19887,4.06,4.2588791847229,,0.19887918472290078,0.19887918472290078,0.039552930116045694
b,Train,2159,file_2159.npy,2159,0.1,0.26954102516174316,,0.16954102516174316,0.16954102516174316,0.028744159212894825
b,Train,26669,file_26669.npy,26669,6.04,6.0752339363098145,,0.03523393630981442,0.03523393630981442,0.0012414302678840589
b,Train,40151,file_40151.npy,40151,9.78,9.771430969238281,,-0.00856903076171811,0.00856903076171811,7.342828819527127e-05
b,Train,87168,file_87168.npy,87168,1.86,1.9003536701202393,,0.04035367012023916,0.04035367012023916,0.0016284186921730827
b,Train,59804,file_59804.npy,59804,2.74,2.7265307903289795,,-0.013469209671020721,0.013469209671020721,0.0001814196091619181
b,Train,67867,file_67867.npy,67867,0.76,0.7359445095062256,,-0.024055490493774423,0.024055490493774423,0.0005786666228960717
b,Train,76225,file_76225.npy,76225,0.32,0.3278985023498535,,0.007898502349853509,0.007898502349853509,6.238633937064141e-05
b,Train,79587,file_79587.npy,79587,6.26,7.027246475219727,,0.7672464752197268,0.7672464752197268,0.5886671537370948
b,Train,67376,file_67376.npy,67376,8.46,8.490224838256836,,0.030224838256835085,0.030224838256835085,0.0009135408476518417
b,Train,6607,file_6607.npy,6607,1.2,1.1699386835098267,,-0.030061316490173295,0.030061316490173295,0.0009036827491223649
