filename,zeta_norm,b,c,zeta_raw,npy_index
file_0.npy,11428.571428571428,0.1,-180.0,0.004,0
file_1.npy,11428.571428571428,0.1,-172.0,0.004,1
file_2.npy,11428.571428571428,0.1,-164.0,0.004,2
file_3.npy,11428.571428571428,0.1,-156.0,0.004,3
file_4.npy,11428.571428571428,0.1,-148.0,0.004,4
file_5.npy,11428.571428571428,0.1,-140.0,0.004,5
file_6.npy,11428.571428571428,0.1,-132.0,0.004,6
file_7.npy,11428.571428571428,0.1,-124.0,0.004,7
file_8.npy,11428.571428571428,0.1,-116.0,0.004,8
file_9.npy,11428.571428571428,0.1,-108.0,0.004,9
file_10.npy,11428.571428571428,0.1,-100.0,0.004,10
file_11.npy,11428.571428571428,0.1,-92.0,0.004,11
file_12.npy,11428.571428571428,0.1,-84.0,0.004,12
file_13.npy,11428.571428571428,0.1,-76.0,0.004,13
file_14.npy,11428.571428571428,0.1,-68.0,0.004,14
file_15.npy,11428.571428571428,0.1,-60.0,0.004,15
file_16.npy,11428.571428571428,0.1,-52.0,0.004,16
file_17.npy,11428.571428571428,0.1,-44.0,0.004,17
file_18.npy,11428.571428571428,0.1,-36.0,0.004,18
file_19.npy,11428.571428571428,0.1,-28.0,0.004,19
file_20.npy,11428.571428571428,0.1,-20.0,0.004,20
file_21.npy,11428.571428571428,0.1,-12.0,0.004,21
file_22.npy,11428.571428571428,0.1,-4.0,0.004,22
file_23.npy,11428.571428571428,0.1,4.0,0.004,23
file_24.npy,11428.571428571428,0.1,12.0,0.004,24
file_25.npy,11428.571428571428,0.1,20.0,0.004,25
file_26.npy,11428.571428571428,0.1,28.0,0.004,26
file_27.npy,11428.571428571428,0.1,36.0,0.004,27
file_28.npy,11428.571428571428,0.1,44.0,0.004,28
file_29.npy,11428.571428571428,0.1,52.0,0.004,29
file_30.npy,11428.571428571428,0.1,60.0,0.004,30
file_31.npy,11428.571428571428,0.1,68.0,0.004,31
file_32.npy,11428.571428571428,0.1,76.0,0.004,32
file_33.npy,11428.571428571428,0.1,84.0,0.004,33
file_34.npy,11428.571428571428,0.1,92.0,0.004,34
file_35.npy,11428.571428571428,0.1,100.0,0.004,35
file_36.npy,11428.571428571428,0.1,108.0,0.004,36
file_37.npy,11428.571428571428,0.1,116.0,0.004,37
file_38.npy,11428.571428571428,0.1,124.0,0.004,38
file_39.npy,11428.571428571428,0.1,132.0,0.004,39
file_40.npy,11428.571428571428,0.1,140.0,0.004,40
file_41.npy,11428.571428571428,0.1,148.0,0.004,41
file_42.npy,11428.571428571428,0.1,156.0,0.004,42
file_43.npy,11428.571428571428,0.1,164.0,0.004,43
file_44.npy,11428.571428571428,0.1,172.0,0.004,44
file_45.npy,11428.571428571428,0.1,180.0,0.004,45
file_46.npy,11428.571428571428,0.32,-180.0,0.004,46
file_47.npy,11428.571428571428,0.32,-172.0,0.004,47
file_48.npy,11428.571428571428,0.32,-164.0,0.004,48
file_49.npy,11428.571428571428,0.32,-156.0,0.004,49
file_50.npy,11428.571428571428,0.32,-148.0,0.004,50
file_51.npy,11428.571428571428,0.32,-140.0,0.004,51
file_52.npy,11428.571428571428,0.32,-132.0,0.004,52
file_53.npy,11428.571428571428,0.32,-124.0,0.004,53
file_54.npy,11428.571428571428,0.32,-116.0,0.004,54
file_55.npy,11428.571428571428,0.32,-108.0,0.004,55
file_56.npy,11428.571428571428,0.32,-100.0,0.004,56
file_57.npy,11428.571428571428,0.32,-92.0,0.004,57
file_58.npy,11428.571428571428,0.32,-84.0,0.004,58
file_59.npy,11428.571428571428,0.32,-76.0,0.004,59
file_60.npy,11428.571428571428,0.32,-68.0,0.004,60
file_61.npy,11428.571428571428,0.32,-60.0,0.004,61
file_62.npy,11428.571428571428,0.32,-52.0,0.004,62
file_63.npy,11428.571428571428,0.32,-44.0,0.004,63
file_64.npy,11428.571428571428,0.32,-36.0,0.004,64
file_65.npy,11428.571428571428,0.32,-28.0,0.004,65
file_66.npy,11428.571428571428,0.32,-20.0,0.004,66
file_67.npy,11428.571428571428,0.32,-12.0,0.004,67
file_68.npy,11428.571428571428,0.32,-4.0,0.004,68
file_69.npy,11428.571428571428,0.32,4.0,0.004,69
file_70.npy,11428.571428571428,0.32,12.0,0.004,70
file_71.npy,11428.571428571428,0.32,20.0,0.004,71
file_72.npy,11428.571428571428,0.32,28.0,0.004,72
file_73.npy,11428.571428571428,0.32,36.0,0.004,73
file_74.npy,11428.571428571428,0.32,44.0,0.004,74
file_75.npy,11428.571428571428,0.32,52.0,0.004,75
file_76.npy,11428.571428571428,0.32,60.0,0.004,76
file_77.npy,11428.571428571428,0.32,68.0,0.004,77
