Task,Set,source_row,filename,npy_index,True,Pred,PredWrapped180,Residual,AbsoluteError,SquaredError
zeta,Train,2726,file_2726.npy,2726,0.0062,0.0071723987348377705,,0.0009723987348377707,0.0009723987348377707,9.455592995140971e-07
zeta,Train,61711,file_61711.npy,61711,0.0678,0.06576060503721237,,-0.0020393949627876273,0.0020393949627876273,4.1591318142435475e-06
zeta,Train,88578,file_88578.npy,88578,0.0942,0.09411785006523132,,-8.214993476868271e-05,8.214993476868271e-05,6.7486117824988245e-09
zeta,Train,44215,file_44215.npy,44215,0.048,0.047817762941122055,,-0.00018223705887794595,0.00018223705887794595,3.321034562848394e-08
zeta,Train,15702,file_15702.npy,15702,0.0194,0.018459636718034744,,-0.0009403632819652563,0.0009403632819652563,8.842831020684682e-07
zeta,Train,39778,file_39778.npy,39778,0.0436,0.04438646137714386,,0.00078646137714386,0.00078646137714386,6.185214977390168e-07
zeta,Train,19887,file_19887.npy,19887,0.0238,0.0229412242770195,,-0.000858775722980501,0.000858775722980501,7.374957423806822e-07
zeta,Train,2159,file_2159.npy,2159,0.0062,0.005122191738337278,,-0.0010778082616627214,0.0010778082616627214,1.1616706489084173e-06
zeta,Train,26669,file_26669.npy,26669,0.0304,0.030827093869447708,,0.0004270938694477082,0.0004270938694477082,1.82409173319816e-07
zeta,Train,40151,file_40151.npy,40151,0.0436,0.04348504915833473,,-0.00011495084166526781,0.00011495084166526781,1.321369599955347e-08
zeta,Train,87168,file_87168.npy,87168,0.0942,0.09401233494281769,,-0.00018766505718231796,0.00018766505718231796,3.5218173687242674e-08
zeta,Train,59804,file_59804.npy,59804,0.0656,0.06634335219860077,,0.0007433521986007635,0.0007433521986007635,5.525724911645889e-07
zeta,Train,67867,file_67867.npy,67867,0.0743999999999999,0.07332093268632889,,-0.0010790673136710088,0.0010790673136710088,1.1643862674331674e-06
zeta,Train,76225,file_76225.npy,76225,0.0831999999999999,0.08315294981002808,,-4.7050189971822864e-05,4.7050189971822864e-05,2.2137203763846207e-09
zeta,Train,79587,file_79587.npy,79587,0.0854,0.07965752482414246,,-0.005742475175857548,0.005742475175857548,3.2976021145340176e-05
zeta,Train,67376,file_67376.npy,67376,0.0722,0.07284927368164062,,0.0006492736816406247,0.0006492736816406247,4.2155631367117127e-07
zeta,Train,6607,file_6607.npy,6607,0.0106,0.012104343622922897,,0.0015043436229228973,0.0015043436229228973,2.263049735828788e-06
